id,name,entityType,layer,familyId,causalIn,causalOut,causalIsolated,modifiable,activeEffectIds,deliveryModalities,derivationInputs,rdsFlags,blockedFields,nativeActionsEventsEffectIds
BIO-001,Sleep Duration,DRIVER,Biological,BIO-F01,2,3,False,High,"[""IE-V1-BIO-F01-001"", ""IE-V1-BIO-F01-003""]","[""DIGITAL_OR_AUTOMATED"", ""HUMAN_DELIVERED"", ""ORGANIZATIONAL_OR_POLICY_PROCESS""]",[],[],[],[]
BIO-002,Sleep Continuity,DRIVER,Biological,BIO-F01,3,1,False,High,"[""IE-V1-BIO-F01-004""]","[""DIGITAL_OR_AUTOMATED"", ""HUMAN_DELIVERED""]",[],[],[],[]
BIO-003,Circadian Timing Alignment,RELATIONAL_DERIVED_STATE,Biological,BIO-F01,0,1,False,Moderate,[],[],"[{""alignmentRequirements"": ""Match analytic level, scope, and time window"", ""entityId"": ""BIO-004"", ""externalParameterType"": null, ""required"": true, ""role"": ""CONSTITUENT_OR_INPUT"", ""unitScaleExpectations"": ""Aligned with derivation logic""}, {""alignmentRequirements"": ""Match analytic level, scope, and time window"", ""entityId"": null, ""externalParameterType"": ""EXTERNAL_TIMING_REQUIREMENTS"", ""required"": true, ""role"": ""CONSTITUENT_OR_INPUT"", ""unitScaleExpectations"": ""Aligned with derivation logic""}]","[""RDS_CAUSAL_SOURCE_REVIEW"", ""STRUCTURAL_RDS_ROOT_REVIEW_NOT_EXECUTION_VIOLATION"", ""NO_PER_RECORD_DERIVATION_VERSION_USE_FROZEN_COMMIT""]",[],[]
BIO-004,Endogenous Circadian Phase,DRIVER,Biological,BIO-F01,0,1,False,Moderate,"[""IE-V1-BIO-F01-005"", ""IE-V1-BIO-F01-006""]","[""HUMAN_DELIVERED"", ""PHYSICAL_ENVIRONMENT""]",[],[],[],[]
BIO-005,Sleep Inertia Severity,DRIVER,Biological,BIO-F01,2,0,False,High,[],[],[],[],[],[]
BIO-006,Chronotype–Schedule Fit,RELATIONAL_DERIVED_STATE,Biological,BIO-F01,0,0,True,Moderate,[],[],"[{""alignmentRequirements"": ""Match analytic level, scope, and time window"", ""entityId"": ""BIO-073"", ""externalParameterType"": null, ""required"": true, ""role"": ""CONSTITUENT_OR_INPUT"", ""unitScaleExpectations"": ""Aligned with derivation logic""}, {""alignmentRequirements"": ""Match analytic level, scope, and time window"", ""entityId"": null, ""externalParameterType"": ""REQUIRED_SCHEDULE"", ""required"": true, ""role"": ""CONSTITUENT_OR_INPUT"", ""unitScaleExpectations"": ""Aligned with derivation logic""}]","[""NO_PER_RECORD_DERIVATION_VERSION_USE_FROZEN_COMMIT""]",[],[]
BIO-007,Physiological Stress Activation,DRIVER,Biological,BIO-F02,1,1,False,Moderate,[],[],[],[],[],[]
BIO-008,Autonomic Arousal,DRIVER,Biological,BIO-F02,2,0,False,Moderate,[],[],[],[],[],[]
BIO-009,Physiological Stress Recovery Rate,DRIVER,Biological,BIO-F02,1,1,False,Moderate,[],[],[],[],[],[]
BIO-010,Allostatic Load,DRIVER,Biological,BIO-F02,1,0,False,Moderate,[],[],[],[],[],[]
