semanticType,scope,originLayer,targetLayer,count
CAUSAL,CROSS_LAYER,Biological,Psychological,3
CAUSAL,CROSS_LAYER,Biological,Social,2
CAUSAL,CROSS_LAYER,Cultural,Informational,1
CAUSAL,CROSS_LAYER,Cultural,Psychological,6
CAUSAL,CROSS_LAYER,Cultural,Social,4
CAUSAL,CROSS_LAYER,Informational,Psychological,13
CAUSAL,CROSS_LAYER,Informational,Social,1
CAUSAL,CROSS_LAYER,Institutional / Structural,Informational,1
CAUSAL,CROSS_LAYER,Institutional / Structural,Physical / Environmental,1
CAUSAL,CROSS_LAYER,Institutional / Structural,Psychological,6
CAUSAL,CROSS_LAYER,Institutional / Structural,Social,4
CAUSAL,CROSS_LAYER,Institutional / Structural,Technological,4
CAUSAL,CROSS_LAYER,Physical / Environmental,Biological,4
CAUSAL,CROSS_LAYER,Physical / Environmental,Institutional / Structural,1
CAUSAL,CROSS_LAYER,Physical / Environmental,Psychological,2
CAUSAL,CROSS_LAYER,Psychological,Biological,2
CAUSAL,CROSS_LAYER,Psychological,Social,5
CAUSAL,CROSS_LAYER,Social,Institutional / Structural,2
CAUSAL,CROSS_LAYER,Social,Psychological,8
CAUSAL,CROSS_LAYER,Technological,Informational,8
CAUSAL,CROSS_LAYER,Technological,Institutional / Structural,1
CAUSAL,CROSS_LAYER,Technological,Psychological,5
CAUSAL,CROSS_LAYER,Technological,Social,5
CAUSAL,SAME_LAYER_CROSS_FAMILY,Biological,Biological,14
CAUSAL,SAME_LAYER_CROSS_FAMILY,Cultural,Cultural,21
CAUSAL,SAME_LAYER_CROSS_FAMILY,Informational,Informational,7
CAUSAL,SAME_LAYER_CROSS_FAMILY,Institutional / Structural,Institutional / Structural,19
CAUSAL,SAME_LAYER_CROSS_FAMILY,Physical / Environmental,Physical / Environmental,18
CAUSAL,SAME_LAYER_CROSS_FAMILY,Psychological,Psychological,41
CAUSAL,SAME_LAYER_CROSS_FAMILY,Social,Social,22
CAUSAL,SAME_LAYER_CROSS_FAMILY,Technological,Technological,4
CAUSAL,WITHIN_FAMILY,Biological,Biological,7
CAUSAL,WITHIN_FAMILY,Cultural,Cultural,23
CAUSAL,WITHIN_FAMILY,Informational,Informational,26
CAUSAL,WITHIN_FAMILY,Institutional / Structural,Institutional / Structural,22
CAUSAL,WITHIN_FAMILY,Physical / Environmental,Physical / Environmental,21
CAUSAL,WITHIN_FAMILY,Psychological,Psychological,19
CAUSAL,WITHIN_FAMILY,Social,Social,39
CAUSAL,WITHIN_FAMILY,Technological,Technological,43
COMPOSITIONAL,SAME_LAYER_CROSS_FAMILY,Informational,Informational,1
DERIVATIONAL,SAME_LAYER_CROSS_FAMILY,Informational,Informational,1
DERIVATIONAL,WITHIN_FAMILY,Biological,Biological,6
DERIVATIONAL,WITHIN_FAMILY,Informational,Informational,1
DERIVATIONAL,WITHIN_FAMILY,Social,Social,1
EMPIRICAL_NONCAUSAL,WITHIN_FAMILY,Biological,Biological,1
REALIZATION,CROSS_LAYER,Technological,Informational,1
REALIZATION,CROSS_LAYER,Technological,Institutional / Structural,1
SEMANTIC,SAME_LAYER_CROSS_FAMILY,Informational,Informational,2
SEMANTIC,SAME_LAYER_CROSS_FAMILY,Social,Social,4
SEMANTIC,WITHIN_FAMILY,Social,Social,2
