semanticType,sourceFamily,targetFamily,count
CAUSAL,BIO-F01,BIO-F01,3
CAUSAL,BIO-F01,BIO-F05,2
CAUSAL,BIO-F01,PSY-F06,1
CAUSAL,BIO-F02,BIO-F02,2
CAUSAL,BIO-F03,BIO-F04,1
CAUSAL,BIO-F03,BIO-F05,1
CAUSAL,BIO-F04,BIO-F05,1
CAUSAL,BIO-F05,BIO-F01,1
CAUSAL,BIO-F05,BIO-F02,1
CAUSAL,BIO-F05,PSY-F06,1
CAUSAL,BIO-F05,PSY-F09,1
CAUSAL,BIO-F06,BIO-F06,1
CAUSAL,BIO-F06,SOC-F03,1
CAUSAL,BIO-F07,SOC-F09,1
CAUSAL,BIO-F08,BIO-F05,1
CAUSAL,BIO-F08,BIO-F08,1
CAUSAL,BIO-F13,BIO-F01,1
CAUSAL,BIO-F13,BIO-F05,3
CAUSAL,BIO-F14,BIO-F05,2
CAUSAL,CUL-F01,CUL-F03,2
CAUSAL,CUL-F03,CUL-F03,2
CAUSAL,CUL-F03,SOC-F01,2
CAUSAL,CUL-F04,CUL-F04,1
CAUSAL,CUL-F04,CUL-F11,1
CAUSAL,CUL-F04,CUL-F12,2
CAUSAL,CUL-F04,PSY-F11,1
CAUSAL,CUL-F04,SOC-F06,1
CAUSAL,CUL-F05,CUL-F05,2
CAUSAL,CUL-F06,CUL-F03,2
CAUSAL,CUL-F06,CUL-F04,1
CAUSAL,CUL-F06,CUL-F11,1
CAUSAL,CUL-F06,CUL-F13,1
CAUSAL,CUL-F07,CUL-F07,3
CAUSAL,CUL-F07,CUL-F13,3
CAUSAL,CUL-F08,CUL-F03,1
CAUSAL,CUL-F08,CUL-F08,2
CAUSAL,CUL-F09,CUL-F09,3
CAUSAL,CUL-F09,PSY-F12,2
CAUSAL,CUL-F10,CUL-F04,1
CAUSAL,CUL-F10,CUL-F10,2
CAUSAL,CUL-F10,PSY-F05,1
CAUSAL,CUL-F11,CUL-F02,1
CAUSAL,CUL-F11,CUL-F03,1
CAUSAL,CUL-F11,CUL-F07,1
CAUSAL,CUL-F11,CUL-F11,1
CAUSAL,CUL-F11,CUL-F13,1
