semanticType,originLayer,targetLayer,count
CAUSAL,Biological,Biological,21
CAUSAL,Biological,Cultural,0
CAUSAL,Biological,Informational,0
CAUSAL,Biological,Institutional / Structural,0
CAUSAL,Biological,Physical / Environmental,0
CAUSAL,Biological,Psychological,3
CAUSAL,Biological,Social,2
CAUSAL,Biological,Technological,0
CAUSAL,Cultural,Biological,0
CAUSAL,Cultural,Cultural,44
CAUSAL,Cultural,Informational,1
CAUSAL,Cultural,Institutional / Structural,0
CAUSAL,Cultural,Physical / Environmental,0
CAUSAL,Cultural,Psychological,6
CAUSAL,Cultural,Social,4
CAUSAL,Cultural,Technological,0
CAUSAL,Informational,Biological,0
CAUSAL,Informational,Cultural,0
CAUSAL,Informational,Informational,33
CAUSAL,Informational,Institutional / Structural,0
CAUSAL,Informational,Physical / Environmental,0
CAUSAL,Informational,Psychological,14
CAUSAL,Informational,Social,1
CAUSAL,Informational,Technological,0
CAUSAL,Institutional / Structural,Biological,0
CAUSAL,Institutional / Structural,Cultural,0
CAUSAL,Institutional / Structural,Informational,1
CAUSAL,Institutional / Structural,Institutional / Structural,41
CAUSAL,Institutional / Structural,Physical / Environmental,1
CAUSAL,Institutional / Structural,Psychological,6
CAUSAL,Institutional / Structural,Social,4
CAUSAL,Institutional / Structural,Technological,4
CAUSAL,Physical / Environmental,Biological,4
CAUSAL,Physical / Environmental,Cultural,0
CAUSAL,Physical / Environmental,Informational,0
CAUSAL,Physical / Environmental,Institutional / Structural,1
CAUSAL,Physical / Environmental,Physical / Environmental,39
CAUSAL,Physical / Environmental,Psychological,2
CAUSAL,Physical / Environmental,Social,0
CAUSAL,Physical / Environmental,Technological,0
CAUSAL,Psychological,Biological,2
CAUSAL,Psychological,Cultural,0
CAUSAL,Psychological,Informational,0
CAUSAL,Psychological,Institutional / Structural,0
CAUSAL,Psychological,Physical / Environmental,0
CAUSAL,Psychological,Psychological,60
CAUSAL,Psychological,Social,5
CAUSAL,Psychological,Technological,0
CAUSAL,Social,Biological,0
CAUSAL,Social,Cultural,0
CAUSAL,Social,Informational,0
CAUSAL,Social,Institutional / Structural,2
CAUSAL,Social,Physical / Environmental,0
CAUSAL,Social,Psychological,8
CAUSAL,Social,Social,61
CAUSAL,Social,Technological,0
CAUSAL,Technological,Biological,0
CAUSAL,Technological,Cultural,0
CAUSAL,Technological,Informational,8
CAUSAL,Technological,Institutional / Structural,1
CAUSAL,Technological,Physical / Environmental,0
CAUSAL,Technological,Psychological,5
CAUSAL,Technological,Social,5
CAUSAL,Technological,Technological,47
COMPOSITIONAL,Biological,Biological,0
COMPOSITIONAL,Biological,Cultural,0
COMPOSITIONAL,Biological,Informational,0
COMPOSITIONAL,Biological,Institutional / Structural,0
COMPOSITIONAL,Biological,Physical / Environmental,0
COMPOSITIONAL,Biological,Psychological,0
COMPOSITIONAL,Biological,Social,0
COMPOSITIONAL,Biological,Technological,0
COMPOSITIONAL,Cultural,Biological,0
COMPOSITIONAL,Cultural,Cultural,0
COMPOSITIONAL,Cultural,Informational,0
COMPOSITIONAL,Cultural,Institutional / Structural,0
COMPOSITIONAL,Cultural,Physical / Environmental,0
COMPOSITIONAL,Cultural,Psychological,0
COMPOSITIONAL,Cultural,Social,0
COMPOSITIONAL,Cultural,Technological,0
COMPOSITIONAL,Informational,Biological,0
COMPOSITIONAL,Informational,Cultural,0
COMPOSITIONAL,Informational,Informational,1
COMPOSITIONAL,Informational,Institutional / Structural,0
COMPOSITIONAL,Informational,Physical / Environmental,0
COMPOSITIONAL,Informational,Psychological,0
COMPOSITIONAL,Informational,Social,0
COMPOSITIONAL,Informational,Technological,0
COMPOSITIONAL,Institutional / Structural,Biological,0
COMPOSITIONAL,Institutional / Structural,Cultural,0
COMPOSITIONAL,Institutional / Structural,Informational,0
COMPOSITIONAL,Institutional / Structural,Institutional / Structural,0
